ingredient_slug	canonical_name	category	aliases	source_url	evidence_terms	notes
persian_cucumber	Persian cucumber	vegetable	波斯黄瓜;小黄瓜;Persian cucumber	https://www.sayweee.com/zh/category/vegetables	波斯黄瓜	Chinese marketplace alias for cucumber variety.
taiwan_cabbage	Taiwan cabbage	vegetable	台湾卷心菜;台湾高丽菜;高丽菜;Taiwan cabbage	https://www.sayweee.com/zh/category/vegetables	台湾卷心菜	Cabbage variety common in Chinese grocery.
cauliflower	Cauliflower	vegetable	花椰菜;菜花;白花菜;cauliflower	https://www.sayweee.com/zh/category/vegetables	花椰菜	Common Chinese aliases.
bell_pepper	Bell pepper	vegetable	甜椒;彩椒;灯笼椒;bell pepper	https://www.sayweee.com/zh/category/vegetables	甜椒	Common Chinese aliases.
zucchini	Zucchini	vegetable	西葫芦;意大利瓜;zucchini	https://www.sayweee.com/zh/category/vegetables	西葫芦	Common Chinese aliases.
green_papaya	Green papaya	fruit	青木瓜;绿木瓜;green papaya	https://www.sayweee.com/zh/category/vegetables	青木瓜	Often sold and cooked as vegetable in Asian grocery.
japanese_sweet_potato	Japanese sweet potato	vegetable	日本红薯;日本地瓜;日式甜薯;Japanese sweet potato	https://www.sayweee.com/zh/category/vegetables	日本红薯	Common Chinese aliases.
baby_bok_choy	Baby bok choy	vegetable	小白菜;小青菜;奶白菜;baby bok choy	https://www.sayweee.com/zh/category/vegetables	小白菜	Common Chinese aliases.
shanghai_bok_choy	Shanghai bok choy	vegetable	上海青;上海白菜;青江菜;Shanghai bok choy	https://www.sayweee.com/zh/category/vegetables	上海青	Common Chinese aliases.
water_spinach	Water spinach	vegetable	空心菜;通菜;蕹菜;water spinach	https://www.sayweee.com/zh/category/vegetables	空心菜	Common Chinese aliases.
chrysanthemum_greens	Chrysanthemum greens	vegetable	茼蒿;皇帝菜;菊花菜;chrysanthemum greens	https://www.sayweee.com/zh/category/vegetables	茼蒿	Common Chinese aliases.
yu_choy	Yu choy	vegetable	油菜;油菜心;菜心;yu choy	https://www.sayweee.com/zh/category/vegetables	油菜	Common Chinese aliases.
pea_shoots	Pea shoots	vegetable	豆苗;豌豆苗;pea shoots	https://www.sayweee.com/zh/category/vegetables	豆苗	Common Chinese aliases.
garland_chrysanthemum	Garland chrysanthemum	vegetable	茼蒿;蒿子杆;garland chrysanthemum	https://www.sayweee.com/zh/category/vegetables	茼蒿	Alias overlaps chrysanthemum greens; keep as related ingredient evidence.
tindora	Tindora	vegetable	小苦瓜;印度小瓜;tindora;ivy gourd	https://www.sayweee.com/zh/category/vegetables	tindora	Asian vegetable.
